,CIVIL,TARs
59,20180107,"V* AF Eri, k Tau, BD+44  2051B, HR 3348, G  51-15, tet Lep, [MDM2001] CFHT-BD-Tau 21, 33 LMi, HD  30171, HR 1237, IRAS 04216+2603, [SS94] V410 X-ray 6, HD 213013A, HR 8422"
60,20210122,"EM* SR 24S, HD 147384"
61,20150124,"* eta Crt, * mu. UMa, V* GH Tau, HD 283447, IRAS F04262+2654, V* UY Aur, HD  99966, [SS94] V410 X-ray 6, HD  25175, * k Tau, *  21 CVn"
62,20210418,"WASP-107, HD 109891, CD-62   657, CD-55  4799, HD 111488, HD 106922, V* V1249 Cen, 2MASS J12271665-6239142"
63,20190406,"HR 3651, * p05 Leo, HR 5567, HR 1683, HR 1578, *  47 Tau, HR 2314"
64,20150630,"MSX6C G059.3614-00.2068, V* VV Ser, VSS II-38, Haro 1-6, MSX6C G080.0467+00.3101, Wolf 1130, HD 167163, VSS II-42, HD 332937, MSX6C G073.6525+00.1944, HD 205314"
65,20210120,"HD  98660, HD  98195, CD-46  9495, HD 128726"
66,20210517,"HD 176425, WASP-80, 2MASS J17540758-3630276, HD 177566, HD 164108, HD 165029"
67,20210423,"2MASS J14371958-6251344, CD-62   657, CD-55  4799, 2MASS J15161949+0244516, 2MASS J17310731-3953523, HD 106676, 2MASS J14333688-6232028, TYC 5619-109-1, HD 106922, 2MASS J14345114-6225509, HD 151966, HD 106797, V* V1249 Cen, 2MASS J12271665-6239142"
68,20160423,"2MASS J16233462-223467, BD+44  2051B, BD+20 1790, G  51-15, *  10 Boo, HD 109954, * q Her, DoAr 25, *  85 Gem, HD 155379, HD 105898, *  33 LMi, HD 119752, HD 145646"
69,20150426,"*  57 Hya, * p05 Leo, PM J10289+0050, HD 172728, HD 142883, PM J17355+6140, CD-26  8623, *  92 Vir, HD 159170, HD 148968, HD 119752, * f Vir, PM J16336-0933, * bet02 Sco, * lam Aql, HD 182681, RIK 210, * bet01 Sco"
70,20180921,"BD-05  5432, HD 150437, HD 145127, Europa"
71,20190423,"KOI-7151, KOI-3546, HD 192538, KOI-7081, KOI-6360"
72,20171030,"1SWASP J230808.34+333803.9, HD 219290"
73,20170705,"HD 147701, HD 145127"
74,20141119,"V* V530 Lyr, [CG2010] IRAS 04181+2655(S), HD 283572, *  68 Gem, V* V2493 Cyg, *  30 Mon, V* NZ Gem, HD  24076, FU Ori, DR Tau, HD  25175, *  18 Ori, HD  71433, HD 205314, HD  24368, * alf Lyr"
75,20170210,"* pi.01 Cnc, * k Tau, HD  46588"
76,20170810,"HD  19622, 2MASS J19010389-0047136, *  50 Lib, 2MASS J16171898-2437186, HD 155379, 2MASS J19002244-0041260, 2MASS J16305988-1952323	, * chi Cap, HD 171872, HD  21379, LP  527-30, G 217-51"
77,20171108,"HBC 427, [MGM2012] 250, RX J0432.8+1735, HR 1558, HD 32297, HD 37887, V* GM Aur"
78,20210117,"V* AB Dor, HD  31743, SZ 118, HD 127750, HD  30051, 2MASS J16042165-2130284 , HD 309751, HD 108913, IRAS 16051-3820, CD-42  3328, HD  70175, HD 143149, HD 127879, HD  71972, HD 145127, HD 104467"
79,20171209,"CoKu LkHA 332 G1, HD  31411, V* DK Tau, HD  23452, V* GV Tau, BD+02  1729, HD  26257, V* V1309 Tau, V* V827 Tau, 2MASS J04542368+1709534, V* GM Tau, L 1551-51, HD 283759, V* V1171 Tau, StKM 1-497, V* V1023 Tau, V* BW Ari, V* V830 Tau, V* CI Tau, HD  19600, V* HV Tau, *  51 Eri, HD  26736, * 24 Tau, HD  25152, * k Tau, Haro 6-28"
80,20151026,"HD  45105, 2MASS J22232908+3227340, 2MASS J04465175-1116476, PM J20451-3120, 2MASS 07264154+1850346, G 106-52, 2MASS J02232663+2244069, *   7 Tri, HD  13398, 2MASS 06394655+4303056, HD 210501, EPIC 210463428, 2MASS J21521041+0537359, HD 196133, 2MASS J02272924+3058246, HD  25175, HD 217987, KOI-6475, 2MASS J02272804+3058405, *  18 Ori, * kap And, 2MASS 07425565-1043450, HD  29573"
